P0_kind,method,P0_ncols,iter,max_residual,mean_residual,n_res_below_1pct,n_res_below_0p1pct,capture_frac_1pct,max_principal_angle,time_seconds
gaussian,inverse,1000,0,0.917319,0.905926,0,0,0,1.43631,0.607897
gaussian,inverse,1000,1,0.891547,0.695402,1,0,0.002,1.34276,0.645924
gaussian,inverse,1000,2,0.855622,0.520321,21,9,0.042,1.2541,0.873917
gaussian,inverse,1000,3,0.814404,0.396708,54,23,0.108,1.15986,1.3304
gaussian,inverse,1000,4,0.766677,0.30643,86,45,0.172,1.05949,2.10271
gaussian,inverse,1000,5,0.999965,0.644645,86,55,0.172,0.0547597,2.24118
gaussian,inverse,1000,6,1,0.873957,44,25,0.088,0.000112212,1.75125
gaussian,inverse,1000,8,1,0.960423,17,17,0.034,2.25169e-05,2.05699
gaussian,inverse,1000,10,1,0.978002,11,11,0.022,5.57949e-07,3.00369
gaussian,inverse,1000,12,1,0.986005,7,6,0.014,1.20598e-06,3.01113
gaussian,inverse,1000,16,1,0.992,4,4,0.008,2.58096e-08,3.83373
gaussian,inverse,1000,20,1,0.992,4,4,0.008,5.10793e-06,4.86913
gaussian,chebyshev,1000,0,0.917319,0.905926,0,0,0,1.43631,0.352144
gaussian,chebyshev,1000,1,0.758501,0.537352,0,0,0,1.14981,0.4806
gaussian,chebyshev,1000,2,0.878129,0.394006,0,0,0,1.20138,0.552232
gaussian,chebyshev,1000,3,0.913717,0.263139,0,0,0,1.22088,0.580048
gaussian,chebyshev,1000,4,0.841828,0.129999,156,0,0.312,1.04519,0.605552
gaussian,chebyshev,1000,5,0.891916,0.107817,233,79,0.466,1.12822,0.675918
gaussian,chebyshev,1000,6,0.896731,0.0791957,295,171,0.59,1.12772,0.75
gaussian,chebyshev,1000,8,0.88828,0.0466409,373,284,0.746,1.10199,0.819972
gaussian,chebyshev,1000,10,0.83786,0.0266743,416,354,0.832,0.997124,0.910954
gaussian,chebyshev,1000,12,0.814602,0.0179798,439,395,0.878,0.954953,1.03729
gaussian,chebyshev,1000,16,0.999909,0.0237331,463,432,0.926,0.151451,1.16171
gaussian,chebyshev,1000,20,1,0.145206,399,369,0.798,0.000456201,1.45998
gaussian,power_iz,1000,0,0.917319,0.905926,0,0,0,1.43631,0.757332
gaussian,power_iz,1000,1,0.851928,0.733742,0,0,0,1.31235,0.586241
gaussian,power_iz,1000,2,0.782988,0.52896,0,0,0,1.16724,0.50393
gaussian,power_iz,1000,3,0.70719,0.36378,0,0,0,1.00901,1.00331
gaussian,power_iz,1000,4,0.61938,0.248124,0,0,0,0.849082,0.877289
gaussian,power_iz,1000,5,0.526142,0.170034,0,0,0,0.697151,0.823973
gaussian,power_iz,1000,6,0.43544,0.117542,76,0,0.152,0.561936,0.73493
gaussian,power_iz,1000,8,0.282822,0.0578727,192,44,0.384,0.353983,0.884173
gaussian,power_iz,1000,10,0.177244,0.0296139,271,138,0.542,0.219354,0.939551
