Z,P0_kind,P0_ncols,polynomial,degree,max_residual,mean_residual,n_res_below_1pct,n_res_below_0p1pct,capture_frac_1pct,max_principal_angle,time_seconds
A,gaussian,1000,power_iz,0,0.917387,0.905722,0,0,0,1.43774,0.566453
A,gaussian,1000,power_iz,1,0.84244,0.820425,0,0,0,1.36841,0.341072
A,gaussian,1000,power_iz,2,0.785234,0.75516,0,0,0,1.31736,0.516931
A,gaussian,1000,power_iz,3,0.73909,0.702661,0,0,0,1.27531,0.712736
A,gaussian,1000,power_iz,5,0.669655,0.617367,0,0,0,1.2021,0.530751
A,gaussian,1000,power_iz,8,0.592214,0.51574,0,0,0,1.10284,0.635733
A,gaussian,1000,power_iz,12,0.509077,0.40902,0,0,0,0.980569,0.800362
A,gaussian,1000,power_iz,16,0.440266,0.324979,0,0,0,0.866934,0.786338
A,gaussian,1000,power_iz,20,0.381538,0.25812,0,0,0,0.762197,1.04451
A,gaussian,1000,power_iz,30,0.261056,0.144609,0,0,0,0.537812,1.32606
A,gaussian,1000,power_iz,50,0.11249,0.0451617,0,0,0,0.237274,1.82823
A,gaussian,1000,chebyshev,0,0.917387,0.905722,0,0,0,1.43774,0.350603
A,gaussian,1000,chebyshev,1,0.802152,0.775937,0,0,0,1.33108,0.386151
A,gaussian,1000,chebyshev,2,0.838909,0.788706,0,0,0,1.35005,0.556711
A,gaussian,1000,chebyshev,3,0.850406,0.758678,0,0,0,1.33089,0.440779
A,gaussian,1000,chebyshev,5,0.865464,0.647201,0,0,0,1.27735,0.514257
A,gaussian,1000,chebyshev,8,0.87377,0.451919,0,0,0,1.21277,0.555054
A,gaussian,1000,chebyshev,12,0.883325,0.277379,0,0,0,1.16539,0.665381
A,gaussian,1000,chebyshev,16,0.886486,0.180016,57,0,0.114,1.14566,0.790173
A,gaussian,1000,chebyshev,20,0.886932,0.123563,178,0,0.356,1.12072,0.921007
A,gaussian,1000,chebyshev,30,0.879252,0.0589129,332,215,0.664,1.09388,1.18036
A,gaussian,1000,chebyshev,50,0.85276,0.0220422,434,379,0.868,1.02749,1.79371
A,gaussian,1000,chebyshev_balanced,8,0.299067,0.161903,0,0,0,0.513172,0.630601
A,sketched_tent_A,1000,power_iz,0,0.922916,0.715108,0,0,0,1.57079,0.324581
A,sketched_tent_A,1000,power_iz,1,0.91376,0.6754,0,0,0,1.57079,0.32259
A,sketched_tent_A,1000,power_iz,2,0.908759,0.650833,0,0,0,1.57079,0.355113
A,sketched_tent_A,1000,power_iz,3,0.905743,0.633384,0,0,0,1.57079,0.582226
A,sketched_tent_A,1000,power_iz,5,0.902694,0.609752,0,0,0,1.57079,0.548788
A,sketched_tent_A,1000,power_iz,8,0.901452,0.588596,0,0,0,1.57079,0.59786
A,sketched_tent_A,1000,power_iz,12,0.901869,0.57158,0,0,0,1.57079,0.674417
A,sketched_tent_A,1000,power_iz,16,0.902879,0.559648,0,0,0,1.57078,0.788971
A,sketched_tent_A,1000,power_iz,20,0.903911,0.549913,1,0,0.002,1.57078,0.901763
A,sketched_tent_A,1000,power_iz,30,0.905645,0.529375,1,0,0.002,1.57075,1.48795
A,sketched_tent_A,1000,power_iz,50,0.901298,0.493291,5,1,0.01,1.57066,1.82738
A,sketched_tent_A,1000,chebyshev,0,0.922916,0.715108,0,0,0,1.57079,0.294475
A,sketched_tent_A,1000,chebyshev,1,0.909189,0.65266,0,0,0,1.57079,0.350861
A,sketched_tent_A,1000,chebyshev,2,0.912323,0.629735,0,0,0,1.57079,0.392545
A,sketched_tent_A,1000,chebyshev,3,0.9178,0.607816,0,0,0,1.57079,0.457419
A,sketched_tent_A,1000,chebyshev,5,0.933246,0.568926,0,0,0,1.57079,0.531292
A,sketched_tent_A,1000,chebyshev,8,0.947005,0.522017,0,0,0,1.57078,0.632152
A,sketched_tent_A,1000,chebyshev,12,0.95175,0.480048,8,0,0.016,1.57077,0.652434
A,sketched_tent_A,1000,chebyshev,16,0.954918,0.446671,14,1,0.028,1.57074,3.49102
A,sketched_tent_A,1000,chebyshev,20,0.959219,0.414054,29,3,0.058,1.57069,1.00346
A,sketched_tent_A,1000,chebyshev,30,0.969225,0.332048,86,22,0.172,1.57049,1.47062
A,sketched_tent_A,1000,chebyshev,50,0.991856,0.196232,243,161,0.486,1.57013,2.13158
