system,P0_kind,method,P0_ncols,iter,eigspace_err_2,eigspace_err_fro,angle_capture_frac_1pct,n_angle_below_1pct,n_angle_below_0p1pct,r_true,r_comp,kappa_approx,kappa_ratio,r_defl,pcg_iters,time_seconds
Tsym,gaussian,inverse,1000,0,0.99097,0.905935,0,0,0,500,1000,779.635,429.905,1000,129,4.01903
Tsym,gaussian,inverse,1000,1,0.974112,0.729367,0.002,1,0,500,1000,5.00365,2.7591,1000,21,2.87193
Tsym,gaussian,inverse,1000,2,0.95027,0.592489,0.046,23,11,500,1000,2.88708,1.59199,1000,15,2.44053
Tsym,gaussian,inverse,1000,3,0.916749,0.488461,0.116,58,23,500,1000,2.42356,1.3364,1000,13,2.68151
Tsym,gaussian,inverse,1000,4,0.872104,0.404838,0.178,89,52,500,1000,2.21793,1.22301,1000,12,3.62096
Tsym,gaussian,inverse,1000,5,1,0.578157,0.216,108,66,500,398,2.49774,1.3773,398,15,2.09494
Tsym,gaussian,inverse,1000,6,1,0.923038,0.148,74,67,500,74,6.95456,3.83487,74,26,2.281
Tsym,gaussian,inverse,1000,8,1,0.978775,0.042,21,21,500,21,23.3508,12.876,21,45,2.81643
Tsym,gaussian,inverse,1000,10,1,0.987927,0.024,12,12,500,12,45.8014,25.2557,12,59,3.19275
Tsym,gaussian,inverse,1000,12,1,0.990959,0.018,9,9,500,9,73.9059,40.7531,9,76,4.14381
Tsym,gaussian,inverse,1000,16,1,0.995992,0.008,4,4,500,4,111.172,61.302,4,90,4.43382
Tsym,gaussian,inverse,1000,20,1,0.995992,0.008,4,4,500,4,111.172,61.302,4,90,5.47443
Tsym,gaussian,inverse_reorth,1000,0,0.99097,0.905935,0,0,0,500,1000,779.635,429.905,1000,129,2.74483
Tsym,gaussian,inverse_reorth,1000,1,0.974112,0.729367,0.002,1,0,500,1000,5.00365,2.7591,1000,21,2.3571
Tsym,gaussian,inverse_reorth,1000,2,0.95027,0.592489,0.046,23,11,500,1000,2.88708,1.59199,1000,15,3.60068
Tsym,gaussian,inverse_reorth,1000,3,0.916749,0.488461,0.116,58,23,500,1000,2.42356,1.3364,1000,13,4.21756
Tsym,gaussian,inverse_reorth,1000,4,0.872104,0.404838,0.178,89,52,500,1000,2.21793,1.22301,1000,12,4.20124
Tsym,gaussian,inverse_reorth,1000,5,0.816816,0.335758,0.254,127,74,500,1000,2.10656,1.1616,1000,11,5.55689
Tsym,gaussian,inverse_reorth,1000,6,0.752561,0.278086,0.318,159,98,500,1000,2.03491,1.12209,1000,11,7.97526
Tsym,gaussian,inverse_reorth,1000,8,0.60911,0.189629,0.426,213,147,500,1000,1.95437,1.07767,1000,11,5.56363
Tsym,gaussian,inverse_reorth,1000,10,0.468654,0.128583,0.516,258,185,500,1000,1.91067,1.05358,1000,10,7.50076
Tsym,gaussian,inverse_reorth,1000,12,0.349216,0.0871011,0.59,295,223,500,1000,1.88425,1.03901,1000,10,8.12911
Tsym,gaussian,inverse_reorth,1000,16,0.185468,0.0403827,0.714,357,280,500,1000,1.857,1.02398,1000,10,10.5401
Tsym,gaussian,inverse_reorth,1000,20,0.0967887,0.0191474,0.804,402,325,500,1000,1.84476,1.01723,1000,10,11.3199
Tsym,gaussian,chebyshev,1000,0,0.99097,0.905935,0,0,0,500,1000,779.635,429.905,1000,129,2.97569
Tsym,gaussian,chebyshev,1000,1,0.912685,0.553196,0,0,0,500,1000,181.699,100.192,1000,74,2.50832
Tsym,gaussian,chebyshev,1000,2,0.932537,0.466035,0,0,0,500,1000,15.3782,8.4798,1000,26,1.5866
Tsym,gaussian,chebyshev,1000,3,0.939401,0.376979,0.01,5,0,500,1000,2.43704,1.34383,1000,13,2.39136
Tsym,gaussian,chebyshev,1000,4,0.86502,0.238808,0.358,179,7,500,1000,2.03676,1.12311,1000,11,3.13372
Tsym,gaussian,chebyshev,1000,5,0.903651,0.227478,0.496,248,100,500,1000,2.00711,1.10676,1000,11,3.4915
Tsym,gaussian,chebyshev,1000,6,0.903437,0.193343,0.612,306,186,500,1000,2.00176,1.10381,1000,11,3.04144
Tsym,gaussian,chebyshev,1000,8,0.892106,0.145461,0.752,376,291,500,1000,1.9936,1.09931,1000,11,2.6662
Tsym,gaussian,chebyshev,1000,10,0.839914,0.103926,0.838,419,359,500,1000,2.01028,1.10851,1000,11,2.84634
Tsym,gaussian,chebyshev,1000,12,0.816286,0.083071,0.882,441,396,500,1000,2.00693,1.10666,1000,11,2.43572
Tsym,gaussian,chebyshev,1000,16,0.794576,0.0622916,0.928,464,435,500,1000,1.97885,1.09117,1000,10,2.70003
Tsym,gaussian,chebyshev,1000,20,1,0.31305,0.902,451,439,500,451,1.90047,1.04796,451,10,2.44484
Tsym,gaussian,power_iz,1000,0,0.99097,0.905935,0,0,0,500,1000,779.635,429.905,1000,129,3.60579
Tsym,gaussian,power_iz,1000,1,0.966789,0.73796,0,0,0,500,1000,471.177,259.816,1000,109,3.12547
Tsym,gaussian,power_iz,1000,2,0.919671,0.553622,0,0,0,500,1000,107.281,59.157,1000,58,2.46391
Tsym,gaussian,power_iz,1000,3,0.846306,0.409858,0,0,0,500,1000,16.6544,9.18357,1000,27,1.8121
Tsym,gaussian,power_iz,1000,4,0.750675,0.303864,0,0,0,500,1000,3.84652,2.12104,1000,16,2.35133
Tsym,gaussian,power_iz,1000,5,0.642036,0.22543,0.074,37,0,500,1000,2.23777,1.23395,1000,12,2.44109
Tsym,gaussian,power_iz,1000,6,0.532825,0.167311,0.222,111,0,500,1000,1.95178,1.07625,1000,11,2.42492
Tsym,gaussian,power_iz,1000,8,0.346637,0.09265,0.442,221,77,500,1000,1.88174,1.03762,1000,10,3.31879
Tsym,gaussian,power_iz,1000,10,0.2176,0.0520176,0.59,295,165,500,1000,1.85631,1.02361,1000,10,2.98507
Tsym,gaussian,power_iz,1000,12,0.135167,0.0297141,0.702,351,232,500,1000,1.84421,1.01693,1000,10,2.80447
Tsym,gaussian,power_iz,1000,16,0.0524266,0.0101815,0.856,428,325,500,1000,1.83058,1.00941,1000,10,4.70558
Tsym,gaussian,power_iz,1000,20,0.0210294,0.00367051,0.952,476,390,500,1000,1.82425,1.00592,1000,10,3.74449
Tsym,sketched_tent,inverse,1000,0,1,0.856202,0,0,0,500,1000,434.525,239.605,1000,108,2.40504
Tsym,sketched_tent,inverse,1000,1,1,0.731504,0.014,7,0,500,1000,3.9298,2.16696,1000,18,1.94371
Tsym,sketched_tent,inverse,1000,2,1,0.65634,0.072,36,17,500,1000,3.11856,1.71963,1000,15,2.44161
Tsym,sketched_tent,inverse,1000,3,1,0.601793,0.15,75,33,500,1000,2.73993,1.51085,1000,14,3.2131
Tsym,sketched_tent,inverse,1000,4,1,0.558765,0.218,109,62,500,1000,2.53754,1.39925,1000,13,4.11544
Tsym,sketched_tent,inverse,1000,5,1,0.704126,0.248,124,77,500,256,2.89417,1.5959,256,17,2.26059
Tsym,sketched_tent,inverse,1000,6,1,0.92844,0.138,69,69,500,69,7.67265,4.23084,69,27,2.31752
Tsym,sketched_tent,inverse,1000,8,1,0.979796,0.04,20,20,500,20,24.4512,13.4828,20,47,2.98467
Tsym,sketched_tent,inverse,1000,10,1,0.988939,0.022,11,11,500,11,46.2335,25.494,11,59,4.89956
Tsym,sketched_tent,inverse,1000,12,1,0.991968,0.016,8,8,500,8,78.0767,43.0529,8,76,3.42377
Tsym,sketched_tent,inverse,1000,16,1,0.995992,0.008,4,4,500,4,111.172,61.302,4,90,4.24247
Tsym,sketched_tent,inverse,1000,20,1,0.995992,0.008,4,4,500,4,111.172,61.302,4,90,5.06301
Tsym,sketched_tent,chebyshev,1000,0,1,0.856202,0,0,0,500,1000,434.525,239.605,1000,108,2.40445
Tsym,sketched_tent,chebyshev,1000,1,1,0.639247,0,0,0,500,1000,21.73,11.9823,1000,31,1.53619
Tsym,sketched_tent,chebyshev,1000,2,1,0.579702,0,0,0,500,1000,3.29657,1.81779,1000,17,1.74132
Tsym,sketched_tent,chebyshev,1000,3,1,0.519506,0.154,77,0,500,1000,2.49109,1.37363,1000,13,1.92694
Tsym,sketched_tent,chebyshev,1000,4,1,0.411908,0.38,190,60,500,1000,2.20493,1.21584,1000,12,2.06914
Tsym,sketched_tent,chebyshev,1000,5,1,0.403633,0.492,246,135,500,1000,2.13746,1.17863,1000,11,2.22082
Tsym,sketched_tent,chebyshev,1000,6,1,0.367926,0.584,292,196,500,1000,2.08807,1.1514,1000,11,2.32398
Tsym,sketched_tent,chebyshev,1000,8,1,0.315416,0.702,351,284,500,1000,2.04274,1.1264,1000,11,2.19948
Tsym,sketched_tent,chebyshev,1000,10,1,0.259265,0.78,390,339,500,1000,2.01321,1.11012,1000,11,2.3332
Tsym,sketched_tent,chebyshev,1000,12,1,0.229146,0.83,415,375,500,1000,1.99287,1.0989,1000,11,3.11675
Tsym,sketched_tent,chebyshev,1000,16,1,0.264176,0.854,427,402,500,470,1.99384,1.09944,470,10,1.94873
Tsym,sketched_tent,chebyshev,1000,20,1,0.4219,0.822,411,408,500,411,1.98525,1.0947,411,11,2.1075
Tsym,sketched_tent,power_iz,1000,0,1,0.856202,0,0,0,500,1000,434.525,239.605,1000,108,2.30321
Tsym,sketched_tent,power_iz,1000,1,1,0.72834,0,0,0,500,1000,81.7606,45.0843,1000,53,1.98468
Tsym,sketched_tent,power_iz,1000,2,1,0.63758,0,0,0,500,1000,13.1003,7.22373,1000,25,1.69171
Tsym,sketched_tent,power_iz,1000,3,1,0.571823,0,0,0,500,1000,3.87664,2.13765,1000,17,1.97524
Tsym,sketched_tent,power_iz,1000,4,1,0.520183,0.054,27,0,500,1000,2.78729,1.53696,1000,15,1.93271
Tsym,sketched_tent,power_iz,1000,5,1,0.476489,0.172,86,0,500,1000,2.52944,1.39478,1000,13,1.95504
Tsym,sketched_tent,power_iz,1000,6,1,0.438075,0.268,134,15,500,1000,2.37797,1.31126,1000,13,1.96418
Tsym,sketched_tent,power_iz,1000,8,1,0.37479,0.406,203,96,500,1000,2.19889,1.21251,1000,11,2.4606
Tsym,sketched_tent,power_iz,1000,10,1,0.32703,0.504,252,158,500,1000,2.10422,1.1603,1000,11,3.3777
Tsym,sketched_tent,power_iz,1000,12,1,0.291696,0.578,289,204,500,1000,2.0574,1.13449,1000,11,3.23201
Tsym,sketched_tent,power_iz,1000,16,1,0.247247,0.678,339,270,500,1000,1.97008,1.08634,1000,10,2.80521
Tsym,sketched_tent,power_iz,1000,20,1,0.221087,0.742,371,314,500,1000,1.93172,1.06518,1000,10,3.65295
Tsym,tent,inverse,1293,0,1,0.84798,0,0,0,500,1293,402.005,221.673,1293,104,3.30221
Tsym,tent,inverse,1293,1,1,0.723512,0.014,7,1,500,1293,3.89685,2.14879,1293,18,2.90585
Tsym,tent,inverse,1293,2,1,0.647922,0.078,39,17,500,1293,3.08871,1.70317,1293,15,3.15181
Tsym,tent,inverse,1293,3,1,0.592968,0.154,77,34,500,1293,2.70506,1.49162,1293,14,3.55585
Tsym,tent,inverse,1293,4,1,0.549525,0.22,110,62,500,1293,2.5237,1.39162,1293,13,3.99081
Tsym,tent,inverse,1293,5,1,0.625043,0.28,140,85,500,314,2.59964,1.43349,314,17,2.65211
Tsym,tent,inverse,1293,6,1,0.915423,0.162,81,81,500,81,6.56808,3.62176,81,26,3.15643
Tsym,tent,inverse,1293,8,1,0.976729,0.046,23,23,500,23,17.2595,9.51722,23,47,5.91581
