Z,P0_kind,P0_ncols,polynomial,degree,eigspace_err_2,eigspace_err_fro,angle_capture_frac_1pct,n_angle_below_1pct,n_angle_below_0p1pct,r_true,r_comp,max_residual,mean_residual,n_res_below_1pct,n_res_below_0p1pct,capture_frac_1pct,max_principal_angle,time_seconds
A,gaussian,1000,power_iz,0,0.991161,0.905732,0,0,0,500,1000,0.917387,0.905722,0,0,0,1.43774,0.941703
A,gaussian,1000,power_iz,1,0.97959,0.82046,0,0,0,500,1000,0.84244,0.820425,0,0,0,1.36841,0.614301
A,gaussian,1000,power_iz,2,0.968056,0.755247,0,0,0,500,1000,0.785234,0.75516,0,0,0,1.31736,0.759414
A,gaussian,1000,power_iz,3,0.956661,0.702839,0,0,0,500,1000,0.73909,0.702661,0,0,0,1.27531,0.552949
A,gaussian,1000,power_iz,5,0.932798,0.617871,0,0,0,500,1000,0.669655,0.617367,0,0,0,1.2021,0.65095
A,gaussian,1000,power_iz,8,0.892492,0.517092,0,0,0,500,1000,0.592214,0.51574,0,0,0,1.10284,0.634118
A,gaussian,1000,power_iz,12,0.830814,0.411944,0,0,0,500,1000,0.509077,0.40902,0,0,0,0.980569,0.681039
A,gaussian,1000,power_iz,16,0.762348,0.329574,0,0,0,500,1000,0.440266,0.324979,0,0,0,0.866934,0.738206
A,gaussian,1000,power_iz,20,0.690513,0.26415,0,0,0,500,1000,0.381538,0.25812,0,0,0,0.762197,0.812001
A,gaussian,1000,power_iz,30,0.512258,0.15242,0.056,28,0,500,1000,0.261056,0.144609,0,0,0,0.537812,1.00074
A,gaussian,1000,power_iz,50,0.235054,0.0512716,0.514,257,50,500,1000,0.11249,0.0451617,0,0,0,0.237274,1.24482
A,gaussian,1000,chebyshev,0,0.991161,0.905732,0,0,0,500,1000,0.917387,0.905722,0,0,0,1.43774,0.448194
A,gaussian,1000,chebyshev,1,0.971406,0.776012,0,0,0,500,1000,0.802152,0.775937,0,0,0,1.33108,0.562532
A,gaussian,1000,chebyshev,2,0.975733,0.789174,0,0,0,500,1000,0.838909,0.788706,0,0,0,1.35005,0.493145
A,gaussian,1000,chebyshev,3,0.971361,0.760838,0,0,0,500,1000,0.850406,0.758678,0,0,0,1.33089,0.483839
A,gaussian,1000,chebyshev,5,0.957252,0.661939,0,0,0,500,1000,0.865464,0.647201,0,0,0,1.27735,0.530918
A,gaussian,1000,chebyshev,8,0.936592,0.506302,0,0,0,500,1000,0.87377,0.451919,0,0,0,1.21277,0.675234
A,gaussian,1000,chebyshev,12,0.918941,0.374381,0,0,0,500,1000,0.883325,0.277379,0,0,0,1.16539,0.702365
A,gaussian,1000,chebyshev,16,0.910985,0.294156,0.18,90,0,500,1000,0.886486,0.180016,57,0,0.114,1.14566,0.862529
A,gaussian,1000,chebyshev,20,0.900415,0.240303,0.4,200,22,500,1000,0.886932,0.123563,178,0,0.356,1.12072,0.83274
A,gaussian,1000,chebyshev,30,0.888416,0.163784,0.68,340,232,500,1000,0.879252,0.0589129,332,215,0.664,1.09388,1.05993
A,gaussian,1000,chebyshev,50,0.856005,0.0995854,0.872,436,382,500,1000,0.85276,0.0220422,434,379,0.868,1.02749,1.35392
A,gaussian,1000,chebyshev_balanced,8,0.490943,0.172629,0,0,0,500,1000,0.299067,0.161903,0,0,0,0.513172,0.833524
A,sketched_tent_A,1000,power_iz,0,1,0.730208,0,0,0,500,1000,0.922916,0.715108,0,0,0,1.57079,0.423712
A,sketched_tent_A,1000,power_iz,1,1,0.695992,0,0,0,500,1000,0.91376,0.6754,0,0,0,1.57079,0.445582
