timestep,nC,nsys,dC_normF,dC_rel,coupling_change,correction_rel,cap_cond,cap_smin,cap_smax,cap_rcond,cap_symres,woodbury_err,woodbury_relres,frozen_err,frozen_relres,fresh_err,fresh_relres,backslash_relres,t_woodbury_net,t_woodbury,t_woodbury_diag,t_frozen,t_fresh,cum_woodbury,cum_fresh
1,78,15759,0,0,NaN,0,377659047.007447,5.14576624287224e-05,19433.4517540622,1.58310669431721e-09,2.64760282216708e-15,3.10023944292208e-15,2.59745984480459e-13,3.10023944292208e-15,2.59745984480459e-13,0,2.11161190592608e-15,2.11161190592608e-15,0.047646,0.050278,0.002632,0.003463,0.141405,0.334079,0.141405
2,78,15759,7.48780205874402,1.17656705349584,1.17656705349584,0.229972364042066,308301076.92365,6.30342850063172e-05,19433.5379505599,1.27231986953095e-09,2.64763773990735e-15,2.65389910790506e-13,2.73586049506173e-13,0.229972364042086,2.43343673626248,0,1.95015142931769e-15,1.95015142931769e-15,0.044183,0.045744,0.001561,0.001945,0.110598,0.378262,0.252003
3,78,15759,8.11278274366563,1.2747709960121,1.18543129001063,0.359991871260708,83137751.7499375,0.000233750349795248,19433.4785527384,6.77734366839823e-09,2.64764351274037e-15,7.98764854292167e-14,2.60697467338112e-13,0.359991871260694,2.13578590590184,0,1.85255167609966e-15,1.85255167609966e-15,0.043544,0.045416,0.001714,0.001757,0.093085,0.421806,0.345088
4,78,15759,8.53373721547746,1.34091606217036,1.22304922778578,0.45297813682776,11153624.0496728,0.0017423463062003,19433.4756636943,5.62654045090771e-08,2.64761570350996e-15,3.1308470015292e-13,3.31082872237216e-13,0.452978136827904,2.06281063946855,0,1.86286083636765e-15,1.86286083636765e-15,0.043112,0.045985,0.001955,0.002197,0.133247,0.464918,0.478335
5,78,15759,8.58186972627201,1.34847917961906,1.18693047583509,0.546696775827912,73006904.0823915,0.000266186756208187,19433.470978494,7.3224668649505e-09,2.64762858666352e-15,1.78336203389531e-13,3.6660074604792e-13,0.546696775827871,3.88703479652458,0,1.91541746665563e-15,1.91541746665563e-15,0.046505,0.048418,0.001913,0.002886,0.079396,0.511423,0.557731
6,78,15759,8.61583603319853,1.35381634496413,1.18177880072067,0.629586052219368,28211216.4257333,0.000688856024302167,19433.4663877587,1.59324931228484e-08,2.64762879426128e-15,3.50187491708893e-13,5.80249790605731e-13,0.629586052219482,2.57199047827326,0,2.12607128938452e-15,2.12607128938452e-15,0.048179,0.050811,0.002632,0.001718,0.138709,0.559602,0.69644
7,78,15759,8.66705608720554,1.36186461167178,1.20462522746432,0.65257131848541,227735281.485078,8.53335610036276e-05,19433.4625352852,1.72483324495983e-09,2.64762951280409e-15,1.07225966484999e-12,5.00256547798817e-13,0.652571318485158,1.95735346313402,0,2.28787023592414e-15,2.28787023592414e-15,0.045717,0.049354,0.002324,0.001684,0.101488,0.605319,0.797928
8,78,15759,8.58890041045974,1.34958391920938,1.19410086065306,0.701098567341423,101688450.200974,0.000191107839312535,19433.4600009484,4.67485283905555e-09,2.64762915760951e-15,3.76600834271503e-13,5.79650747391957e-13,0.701098567341397,2.2823864324321,0,2.21232306585464e-15,2.21232306585464e-15,0.04302,0.044984,0.001842,0.001681,0.05546,0.648339,0.853388
9,78,15759,8.74694581189797,1.37441777710652,1.22430760928965,0.639351781404445,19538578.9920284,0.000994619856586978,19433.4586349646,2.09853545076188e-08,2.64762958217146e-15,2.9825568244806e-13,5.62934120618217e-13,0.639351781404379,3.05409171159609,0,1.97979098094972e-15,1.97979098094972e-15,0.043017,0.044853,0.001836,0.001758,0.068221,0.691356,0.921609
10,78,15759,8.8599300342398,1.3921711194798,1.22801143002593,0.999965299688042,2.4698693752619e+15,7.86821288247351e-12,19433.4580364625,2.49339962949825e-16,2.64762924599633e-15,3.74619715007909e-06,5.74600258358834e-11,0.99996529993655,5.13966249269984,0,1.26188070940885e-12,1.26188070940885e-12,0.042313,0.043889,0.001576,0.001748,0.067134,0.733669,0.988743
