timestep,nC,nsys,dC_normF,dC_rel,coupling_change,correction_rel,cap_cond,cap_smin,cap_smax,cap_rcond,cap_symres,woodbury_err,woodbury_relres,frozen_err,frozen_relres,fresh_err,fresh_relres,backslash_relres,t_woodbury_net,t_woodbury,t_woodbury_diag,t_frozen,t_fresh,cum_woodbury,cum_fresh
1,44,5864,0,0,NaN,0,345.991567719346,0.0537609881589293,18.6008485752491,0.000746134940450327,0,5.56742902797257e-15,1.54948252709914e-14,5.54422856900037e-15,1.45153215301481e-14,0,4.86271942226282e-15,4.86271942226282e-15,0.005133,0.006682,0.001377,0.000374,0.016316,0.037386,0.016316
2,44,5864,0,0,0,0,345.991567719346,0.0537609881589293,18.6008485752491,0.000746134940450327,0,7.37691121200331e-15,8.17028444951245e-15,7.44113093557239e-15,8.18976228530845e-15,0,2.08875947703009e-15,2.08875947703009e-15,0.004883,0.005903,0.00102,0.000385,0.015389,0.042269,0.031705
3,44,5864,0,0,0,0,345.991567719346,0.0537609881589293,18.6008485752491,0.000746134940450327,0,5.59261689627742e-15,7.64852891205689e-15,5.49839718555216e-15,7.62515956339017e-15,0,2.22419381489732e-15,2.22419381489732e-15,0.005147,0.006184,0.001037,0.000363,0.020237,0.047416,0.051942
4,44,5864,0,0,0,0,345.991567719346,0.0537609881589293,18.6008485752491,0.000746134940450327,0,6.05388250703991e-15,7.53513544425057e-15,6.0252901492843e-15,7.91125409103968e-15,0,2.06330425551679e-15,2.06330425551679e-15,0.004077,0.006483,0.002406,0.000387,0.019127,0.051493,0.071069
5,44,5864,0,0,0,0,345.991567719346,0.0537609881589293,18.6008485752491,0.000746134940450327,0,6.42797828282874e-15,8.14176564755145e-15,6.35053685975883e-15,8.05542675088411e-15,0,2.18545519608449e-15,2.18545519608449e-15,0.004073,0.005037,0.000964,0.000381,0.014543,0.055566,0.085612
6,44,5864,0,0,0,0,345.991567719346,0.0537609881589293,18.6008485752491,0.000746134940450327,0,5.01936059734692e-15,7.74796181118559e-15,5.2041090333551e-15,7.74203648456936e-15,0,2.03215986386893e-15,2.03215986386893e-15,0.004383,0.005757,0.001017,0.000364,0.01873,0.059949,0.104342
7,44,5864,0,0,0,0,345.991567719346,0.0537609881589293,18.6008485752491,0.000746134940450327,0,5.94054800782033e-15,7.76450688358592e-15,5.94778520107831e-15,7.69435563431719e-15,0,2.23360632044865e-15,2.23360632044865e-15,0.004064,0.006564,0.0025,0.000359,0.022027,0.064013,0.126369
8,44,5864,0,0,0,0,345.991567719346,0.0537609881589293,18.6008485752491,0.000746134940450327,0,4.7457048107074e-15,7.64241703752689e-15,4.89099739167328e-15,7.68377494947889e-15,0,1.88580846750549e-15,1.88580846750549e-15,0.004056,0.006525,0.002469,0.000351,0.017229,0.068069,0.143598
9,44,5864,0,0,0,0,345.991567719346,0.0537609881589293,18.6008485752491,0.000746134940450327,0,4.84931511901687e-15,7.66100680441011e-15,4.71573874516346e-15,7.69336668837195e-15,0,2.23997862376686e-15,2.23997862376686e-15,0.004196,0.005899,0.001655,0.000348,0.016196,0.072265,0.159794
10,44,5864,0,0,0,0,345.991567719346,0.0537609881589293,18.6008485752491,0.000746134940450327,0,6.89953325208013e-15,7.9700614747582e-15,6.67244580443698e-15,8.22558547417424e-15,0,1.9733807068111e-15,1.9733807068111e-15,0.005,0.006269,0.001269,0.000385,0.016105,0.077265,0.175899
