timestep,nC,nsys,dC_normF,dC_rel,coupling_change,correction_rel,cap_cond,cap_smin,cap_smax,cap_rcond,cap_symres,woodbury_err,woodbury_relres,frozen_err,frozen_relres,fresh_err,fresh_relres,backslash_relres,t_woodbury_net,t_woodbury,t_woodbury_diag,t_frozen,t_fresh,cum_woodbury,cum_fresh
1,44,5864,0,0,NaN,0,339.933609820579,0.0542379101022834,18.4372885701932,0.000731032808402169,8.00594141595261e-16,6.09707705680777e-15,1.29478421597634e-14,6.01273109209694e-15,1.16166875091691e-14,0,1.61202120843222e-15,1.61202120843222e-15,0.009294,0.011894,0.001202,0.000396,0.031771,0.057652,0.031771
2,44,5864,6.09122264274631,1.24736177174985,1.24736177174985,0.140369308842716,368.094025872623,0.0500379251781222,18.4186613251281,0.000693771120137528,8.1465597008705e-16,3.45123716370265e-15,1.83131598735906e-14,0.140369308842714,0.572894905721356,0,9.82514751395913e-16,9.82514751395913e-16,0.006754,0.007149,0.000395,0.00037,0.028615,0.064406,0.060386
3,44,5864,6.81489558174286,1.39555565864202,1.20718587842961,0.255168690489028,337.495984550432,0.0545948482714976,18.4255420687705,0.000659170341123815,8.09938500590241e-16,4.27512052423539e-15,2.61466958294852e-14,0.255168690489029,0.720770094438437,0,9.98555180196459e-16,9.98555180196459e-16,0.006467,0.006848,0.000381,0.000387,0.022511,0.070873,0.082897
4,44,5864,6.77140873793455,1.3866504142072,1.20488619664506,0.351329955039407,318.878947993329,0.0576837468273424,18.3941325046165,0.00090723182126241,8.10360904866515e-16,2.87282306546879e-15,2.08884717690995e-14,0.351329955039406,0.824135429712082,0,9.34233177762597e-16,9.34233177762597e-16,0.009297,0.014347,0.004225,0.000378,0.027668,0.08017,0.110565
5,44,5864,6.73953586617813,1.38012348125522,1.17996654693452,0.436282185403727,383.085377190167,0.048003920198233,18.3895998757468,0.00060919968553829,8.11321044599224e-16,2.74126264882994e-15,1.47904533603886e-14,0.436282185403728,0.920240226724801,0,1.19488479755188e-15,1.19488479755188e-15,0.010246,0.0148,0.004244,0.000404,0.028708,0.090416,0.139273
6,44,5864,6.889752559494,1.4108848852804,1.23437989009675,0.514299747375231,337.003477324445,0.0545636037206643,18.3881241892169,0.000851583190824691,8.09795389328781e-16,4.59010791417542e-15,2.19021389403026e-14,0.514299747375228,1.08300930615464,0,1.00867765860101e-15,1.00867765860101e-15,0.008843,0.012283,0.00344,0.000389,0.026297,0.099259,0.16557
7,44,5864,6.88724430721785,1.41037124488558,1.2481618490209,0.588176124702412,350.02855344063,0.0525204119321565,18.3836438147188,0.000788182291618319,8.12795412919607e-16,6.54580790677319e-15,1.76195549976084e-14,0.588176124702415,1.17571848516104,0,1.13746268114671e-15,1.13746268114671e-15,0.007565,0.007991,0.000426,0.000355,0.031232,0.106824,0.196802
8,44,5864,6.85180550093951,1.40311407916029,1.23038131364942,0.64928443045113,343.263313251171,0.0535540775665297,18.3831501035972,0.000830368381607356,8.11512333948889e-16,1.04269671339374e-14,2.45871063525203e-14,0.649284430451137,1.21958933175175,0,1.03146386898456e-15,1.03146386898456e-15,0.009248,0.013009,0.003579,0.000349,0.024541,0.116072,0.221343
9,44,5864,6.81356552181124,1.39528328870742,1.22809823172731,0.703480675959679,337.39037779013,0.0544861935211491,18.3831174164466,0.000880972191571944,8.1182524353763e-16,4.72173019539677e-15,2.40117003098941e-14,0.703480675959678,1.23937525188603,0,1.15985723624255e-15,1.15985723624255e-15,0.00752,0.008037,0.000517,0.000384,0.028422,0.123592,0.249765
10,44,5864,6.72854084345543,1.37787191833785,1.18701995369092,0.752893049892127,389.958080620366,0.047141205561474,18.3830940388825,0.000863736062402903,8.11305429594108e-16,4.9736063236123e-15,2.19119349014566e-14,0.752893049892125,1.23736905193042,0,9.82177227584183e-16,9.82177227584183e-16,0.007045,0.007884,0.000839,0.00039,0.030097,0.130637,0.279862
